<TICKER>,<DATA>,<VOLUME>,<ABERTURA>,<MAXIMO>,<MINIMO>,<FECHO>
PTC,20020107,2987600,78.139,79.142,76.885,76.885
PTC,20020108,2394500,76.885,77.554,76.049,76.133
PTC,20020109,5284800,75.966,77.303,75.632,76.467
PTC,20020110,4889400,75.297,75.882,74.294,75.297
PTC,20020111,4375100,75.799,75.966,74.712,75.214
PTC,20020114,2709300,74.462,75.214,73.960,73.960
PTC,20020115,4160500,73.960,74.545,73.542,74.211
PTC,20020116,3401100,73.793,74.044,72.372,72.372
PTC,20020117,4142500,73.542,74.378,73.124,74.294
PTC,20020118,3008800,74.378,74.879,73.877,74.294
PTC,20020121,1198700,73.960,73.960,73.124,73.292
PTC,20020122,3347700,73.542,74.294,73.041,73.041
PTC,20020123,4737600,73.124,73.208,71.286,71.537
PTC,20020124,3156500,72.289,73.292,71.537,72.456
PTC,20020125,3403600,71.954,73.877,71.787,73.292
PTC,20020128,6532000,74.378,76.300,74.127,75.966
PTC,20020129,5280600,75.632,76.551,74.378,74.378
PTC,20020130,5494300,73.041,73.709,72.372,72.707
PTC,20020131,3777300,73.542,74.044,72.289,72.289
PTC,20020201,100,72.790,73.292,72.205,72.707
PTC,20020204,2587200,72.707,72.957,71.704,72.623
PTC,20020205,3090600,71.787,72.707,71.620,72.372
PTC,20020206,6080400,72.707,73.626,71.787,72.539
PTC,20020207,10146900,71.871,72.456,69.782,70.450
PTC,20020208,3335700,70.116,70.868,69.698,69.949
PTC,20020211,3000,70.534,71.035,68.946,70.116
PTC,20020213,1300,70.116,70.116,67.024,67.692
PTC,20020214,5795900,67.860,68.612,65.687,68.612
PTC,20020215,5021000,68.862,68.862,66.940,66.940
PTC,20020218,4133400,66.940,67.358,66.188,66.857
PTC,20020219,3878700,66.857,66.857,65.018,65.018
PTC,20020220,3500,64.851,65.854,64.099,64.433
PTC,20020221,7835000,65.603,66.188,63.597,63.597
PTC,20020222,4340200,63.514,64.099,62.511,63.514
PTC,20020225,2703500,63.514,64.099,63.096,63.096
PTC,20020226,64000,63.681,65.269,63.597,64.767
PTC,20020227,2000,65.352,66.940,65.269,66.439
PTC,20020228,27200,66.857,68.194,66.272,68.110
PTC,20020301,5600,67.692,69.280,67.358,68.862
PTC,20020304,3105400,69.865,70.952,69.698,70.617
PTC,20020305,14000,70.701,72.623,69.949,72.623
PTC,20020306,4363700,71.537,73.292,71.286,71.537
PTC,20020307,7933000,72.456,73.793,72.372,73.208
PTC,20020308,900,72.874,74.378,72.790,74.378
PTC,20020311,7620000,74.294,74.963,73.375,74.796
PTC,20020312,5742700,74.712,74.712,72.707,74.211
PTC,20020313,105000,74.211,74.879,71.537,71.537
PTC,20020314,80000,71.954,72.289,71.119,71.871
PTC,20020315,11638100,71.453,72.790,71.453,72.790
PTC,20020318,2416500,73.542,73.960,73.292,73.626
PTC,20020319,500,73.877,74.211,73.292,74.211
PTC,20020320,6815300,73.877,73.877,71.035,71.035
PTC,20020321,4477000,71.369,71.954,70.283,70.283
PTC,20020322,4340500,70.952,71.871,70.534,71.871
PTC,20020325,2999600,71.620,71.620,70.450,71.035
PTC,20020326,3488500,70.534,70.952,70.283,70.617
PTC,20020327,0,70.283,71.453,70.283,70.952
PTC,20020328,0,71.119,71.871,70.952,71.286
PTC,20020402,4601600,71.787,71.871,68.612,68.779
PTC,20020403,3177700,68.444,69.614,68.027,68.695
PTC,20020404,2200,68.361,69.029,67.525,68.528
PTC,20020405,5271200,68.946,69.531,68.027,68.027
PTC,20020408,4606200,68.361,68.528,67.107,68.528
PTC,20020409,8059000,69.029,70.952,69.029,70.784
PTC,20020410,5513100,70.199,71.453,69.614,70.784
PTC,20020411,27800,71.369,71.871,69.113,69.614
PTC,20020412,2770200,68.862,70.116,68.779,69.280
PTC,20020415,16100,69.364,69.949,69.113,69.364
PTC,20020416,3053800,70.032,71.035,69.698,70.868
PTC,20020417,5406100,71.537,71.704,70.534,71.286
PTC,20020418,2345000,70.868,71.453,70.450,70.450
PTC,20020419,2563400,71.453,71.453,69.614,70.952
PTC,20020422,10700,70.952,70.952,69.949,70.199
PTC,20020423,6509400,70.534,70.868,68.779,70.868
PTC,20020424,2100,70.450,71.453,70.199,70.534
PTC,20020426,10000,70.199,70.701,68.695,68.779
PTC,20020429,100000,68.779,69.698,68.027,69.280
PTC,20020430,5918700,69.364,69.614,67.692,67.692
PTC,20020502,16453200,68.277,68.361,63.765,63.848
PTC,20020503,7189400,64.266,65.854,62.511,64.182
PTC,20020506,2240000,64.600,65.520,63.347,63.848
PTC,20020507,3915600,63.514,63.932,61.759,63.012
PTC,20020508,78000,63.681,65.269,63.430,65.185
PTC,20020509,4458900,65.770,66.272,63.430,63.848
PTC,20020510,5901400,63.765,63.765,61.508,61.926
PTC,20020513,2800,61.508,62.260,60.840,62.010
PTC,20020514,2321300,62.511,62.845,61.592,61.926
PTC,20020515,3680400,62.260,62.427,61.508,62.427
PTC,20020516,600,62.427,63.848,62.010,63.514
PTC,20020517,27000,64.099,65.603,64.099,64.350
PTC,20020520,1822800,64.266,64.266,63.263,63.932
PTC,20020521,3959800,63.765,65.018,63.597,64.684
PTC,20020522,2337500,64.350,64.684,63.681,63.932
PTC,20020523,3979100,64.099,64.600,63.096,63.932
PTC,20020524,3473800,63.514,65.102,63.514,65.018
PTC,20020527,500,64.767,65.854,64.684,64.684
PTC,20020528,2246500,65.185,65.603,64.517,65.018
PTC,20020529,5888600,64.767,65.352,64.182,64.684
PTC,20020531,21400,63.765,65.352,63.514,65.185
PTC,20020603,2060500,64.935,65.520,64.935,65.352
PTC,20020604,7624200,64.684,64.767,63.263,63.514
PTC,20020605,6493000,63.932,64.350,63.180,63.263
PTC,20020606,1900,63.430,64.015,60.672,60.840
PTC,20020607,11900800,59.335,59.670,58.332,59.001
PTC,20020611,7821400,59.419,60.171,59.001,59.670
PTC,20020612,2800,59.001,59.252,58.165,58.165
PTC,20020613,9179100,59.085,59.085,55.909,56.661
PTC,20020614,12200,56.076,56.160,54.405,54.822
PTC,20020617,4829300,55.157,56.828,54.739,56.745
PTC,20020618,4181500,57.330,57.664,56.745,57.413
PTC,20020619,5070400,56.076,58.917,55.992,58.249
PTC,20020620,5041200,57.998,59.419,57.580,58.332
PTC,20020621,7700,57.998,59.419,57.580,58.917
PTC,20020624,5877600,59.252,59.920,57.747,59.920
PTC,20020625,5485400,59.335,60.923,59.335,60.422
PTC,20020626,15000,58.500,58.750,57.246,58.500
PTC,20020627,49900,59.753,60.505,59.001,59.753
PTC,20020628,5089100,60.087,60.589,59.335,59.753
PTC,20020701,4388700,59.502,60.087,57.831,57.998
PTC,20020702,4048800,57.246,57.831,56.243,56.661
PTC,20020703,7867800,56.745,57.413,53.987,53.987
PTC,20020704,2181900,54.990,55.324,54.572,54.739
PTC,20020705,500,55.407,57.330,54.906,56.995
PTC,20020708,6600,56.828,57.831,56.243,57.246
PTC,20020709,2700,56.661,57.747,56.327,57.664
PTC,20020710,5196300,56.828,57.998,56.410,57.580
PTC,20020711,3764500,56.828,57.497,56.327,56.327
PTC,20020715,5348400,56.494,56.912,54.739,54.990
PTC,20020716,4432400,55.491,56.160,54.321,54.990
PTC,20020717,19200,54.906,56.327,54.655,55.742
PTC,20020718,7816000,56.160,56.494,53.652,55.157
PTC,20020719,1400,53.903,54.655,52.566,52.650
PTC,20020722,500,52.482,53.569,51.480,52.065
PTC,20020723,2237200,52.650,53.485,51.897,52.065
PTC,20020724,4385000,51.647,51.981,49.892,50.895
PTC,20020725,5553700,52.817,53.569,51.396,51.563
PTC,20020726,4700,51.229,52.482,50.811,51.647
PTC,20020729,4462600,52.232,53.151,51.730,52.733
PTC,20020730,4023600,53.235,53.318,50.644,51.396
PTC,20020731,6900,51.396,52.733,51.229,51.814
PTC,20020801,3800300,51.730,52.566,51.563,51.981
PTC,20020802,3672900,51.647,51.981,50.477,50.560
PTC,20020805,1699200,50.811,50.811,49.307,49.557
PTC,20020806,4374600,49.140,50.310,48.220,49.892
PTC,20020807,6605200,50.477,50.477,47.803,47.803
PTC,20020808,6044400,49.056,50.477,48.889,50.310
PTC,20020809,5193000,50.560,51.730,50.059,51.730
PTC,20020812,1269700,51.145,51.480,50.393,51.062
PTC,20020813,2586100,50.895,51.396,50.226,50.811
PTC,20020814,1981800,50.142,50.644,49.474,49.975
PTC,20020816,0,50.310,50.560,49.474,50.142
PTC,20020819,2698000,49.725,50.310,49.641,50.142
PTC,20020820,4865400,49.975,50.477,49.725,50.393
PTC,20020821,7312900,50.310,52.733,50.142,51.563
PTC,20020822,7923600,52.232,54.739,52.065,54.655
PTC,20020823,5959900,54.990,56.327,54.154,54.321
PTC,20020826,1541200,53.987,55.575,53.402,53.485
PTC,20020827,3309600,53.987,55.324,53.318,55.073
PTC,20020828,2202100,54.739,55.324,54.321,54.655
PTC,20020829,3933200,54.488,54.822,53.318,54.655
PTC,20020830,5319900,54.990,55.073,53.485,55.073
PTC,20020902,2929900,54.237,54.488,52.566,52.733
PTC,20020903,4380700,52.566,52.984,51.145,52.900
PTC,20020904,2100,52.566,52.817,50.978,51.563
PTC,20020905,100,51.981,52.065,51.062,51.730
PTC,20020906,2975500,51.396,51.981,51.062,51.897
PTC,20020909,1010500,51.730,51.814,51.312,51.396
PTC,20020910,2151400,51.563,52.399,51.563,52.232
PTC,20020911,2056400,52.232,53.067,51.814,52.650
PTC,20020912,17800,52.566,52.900,51.312,51.563
PTC,20020913,20390000,51.563,51.563,49.390,50.142
PTC,20020916,1436900,50.226,50.393,49.307,49.390
PTC,20020917,8365200,50.226,50.560,47.218,47.218
PTC,20020918,17200,47.301,47.301,44.961,44.961
PTC,20020919,2882000,45.212,45.463,44.293,44.293
PTC,20020920,5000,43.373,45.128,42.955,45.128
PTC,20020923,500,45.295,45.964,43.290,43.540
PTC,20020924,3547300,43.290,44.209,41.368,41.368
PTC,20020925,2700,41.284,42.538,40.281,42.203
PTC,20020926,3181000,42.788,43.624,42.621,42.705
PTC,20020927,3322700,42.872,42.955,40.950,41.117
PTC,20020930,10000,40.365,40.532,38.025,38.025
PTC,20021001,5615200,38.860,39.362,36.688,38.526
PTC,20021002,500,39.780,40.532,39.278,40.532
PTC,20021003,11200,39.529,41.451,39.362,40.950
PTC,20021004,20000,40.699,42.705,40.532,42.370
PTC,20021007,17000,41.785,43.457,41.368,42.203
PTC,20021008,4138400,42.621,43.791,42.203,42.454
PTC,20021009,18000,42.621,44.042,42.621,44.042
PTC,20021010,5995100,43.624,44.794,43.457,44.627
PTC,20021011,6424900,44.878,47.719,44.794,47.719
PTC,20021014,4150600,47.635,48.053,46.048,46.465
PTC,20021015,2857500,47.301,48.053,47.134,48.053
PTC,20021016,3013500,47.050,48.638,47.050,47.635
PTC,20021017,4350900,48.053,48.471,46.465,47.301
PTC,20021018,3942600,47.719,47.970,45.964,46.215
PTC,20021021,600,45.880,46.298,45.128,45.128
PTC,20021022,12300,45.546,46.298,45.212,45.630
PTC,20021023,3564800,45.880,46.298,44.293,45.045
PTC,20021024,4667700,45.379,46.716,45.295,46.716
PTC,20021025,3958800,46.716,47.719,46.215,47.385
PTC,20021028,5109500,48.053,50.142,47.970,49.557
PTC,20021029,5186100,49.140,49.975,47.134,47.468
PTC,20021030,6962600,48.053,50.560,48.053,49.808
PTC,20021031,76000,50.226,51.730,49.641,50.978
PTC,20021104,4874900,52.148,52.315,51.062,51.062
PTC,20021105,3000,51.062,51.396,49.474,50.142
PTC,20021106,6192500,50.978,51.897,49.808,49.808
PTC,20021107,1000,50.811,50.811,49.641,50.644
PTC,20021108,9900,49.808,52.232,49.808,51.396
PTC,20021111,3284100,51.062,51.814,50.560,51.312
PTC,20021112,15500,50.895,51.563,50.393,50.560
PTC,20021113,2946500,50.142,50.477,49.557,50.477
PTC,20021114,5020300,50.727,52.399,50.226,51.647
PTC,20021115,61300,52.482,52.817,52.315,52.817
PTC,20021118,5760500,52.817,54.405,52.817,54.237
PTC,20021119,1500,53.652,55.324,53.318,55.324
PTC,20021120,8000,55.073,56.076,53.820,55.240
PTC,20021121,5014500,55.575,56.577,55.407,56.160
PTC,20021122,2867600,56.076,56.661,55.658,56.410
PTC,20021125,1871400,56.745,57.079,55.909,56.076
PTC,20021126,47400,56.160,56.160,53.652,53.652
PTC,20021127,8000,53.569,55.491,53.569,55.073
PTC,20021128,5700,55.742,56.494,55.073,56.160
PTC,20021129,27600,56.577,56.995,55.909,56.912
PTC,20021202,4965800,56.577,58.834,56.577,58.249
PTC,20021203,4345500,58.249,58.667,56.745,57.330
PTC,20021204,0,57.162,58.416,56.577,57.497
PTC,20021205,4658700,57.580,59.085,57.497,57.497
PTC,20021206,2596400,57.664,58.500,56.661,57.246
PTC,20021209,4688800,57.747,57.747,54.321,54.572
PTC,20021210,3936800,54.655,55.909,54.655,55.742
PTC,20021211,56600,56.160,56.577,53.820,53.903
PTC,20021212,2782500,54.405,54.488,52.817,52.984
PTC,20021213,2659600,53.318,53.569,52.315,52.984
PTC,20021216,700,52.733,53.820,52.482,53.151
PTC,20021217,2833000,53.569,53.987,52.733,53.067
PTC,20021218,2837700,53.151,53.987,52.650,53.987
PTC,20021219,3277800,53.987,54.237,52.733,52.733
PTC,20021220,5800,53.318,53.318,52.232,52.817
PTC,20021223,1614100,52.733,53.067,52.065,52.065
PTC,20021227,67600,51.814,53.067,51.145,52.566
PTC,20021230,3315900,52.399,53.067,51.981,53.067
PTC,20021231,4237900,55.157,55.157,53.067,54.739
PTC,20030102,1000,54.321,55.992,54.070,55.825
PTC,20030103,2198400,55.992,56.577,54.906,55.073
PTC,20030106,3289200,55.491,55.491,53.402,54.321
PTC,20030107,1500,54.739,57.497,54.405,57.497
PTC,20030108,6000,56.828,58.332,56.410,57.664
PTC,20030109,2800,57.915,58.416,56.243,57.831
PTC,20030110,6028300,57.664,58.750,57.330,58.750
PTC,20030113,4527300,58.917,59.920,58.750,59.753
PTC,20030114,4881600,59.670,60.672,59.419,60.672
PTC,20030115,5440600,60.589,60.756,59.586,60.338
PTC,20030116,3879000,59.670,60.672,59.586,60.589
PTC,20030117,3900,59.837,60.422,59.502,60.087
PTC,20030120,3957400,60.004,60.422,59.085,59.168
PTC,20030121,4261100,59.335,59.920,57.747,57.915
PTC,20030122,6154000,58.165,59.085,57.413,58.917
PTC,20030123,3010100,58.917,59.168,58.249,58.917
PTC,20030124,4290700,58.917,59.335,58.500,58.917
PTC,20030127,4605300,58.416,58.500,57.413,58.082
PTC,20030128,4000,58.332,58.583,56.160,56.494
PTC,20030129,12381800,56.661,56.745,54.321,54.906
PTC,20030130,5066500,54.906,55.909,54.321,54.488
PTC,20030131,2000,54.237,54.488,53.736,54.488
PTC,20030203,3825800,55.157,56.243,54.739,55.491
PTC,20030204,3628600,55.575,55.909,54.321,54.321
PTC,20030205,3023100,54.070,54.822,53.903,54.572
PTC,20030206,3700,54.655,55.491,54.237,54.822
PTC,20030207,1000,54.572,55.073,53.987,54.906
PTC,20030210,0,54.739,54.739,54.070,54.321
PTC,20030211,4096900,54.572,54.906,54.405,54.739
PTC,20030212,3133300,54.572,54.655,53.569,54.154
PTC,20030213,3349900,53.820,53.987,52.900,53.402
PTC,20030214,3435200,53.151,54.822,53.067,54.488
PTC,20030217,1964800,54.822,55.157,54.321,54.655
PTC,20030218,4050900,54.739,55.073,54.237,54.572
PTC,20030219,3300,54.655,54.655,52.232,52.232
PTC,20030220,5438800,52.650,52.984,51.145,51.563
PTC,20030221,6126100,51.229,51.480,49.223,49.725
PTC,20030224,3437500,49.975,50.310,48.388,48.388
PTC,20030225,4428300,48.304,48.304,46.465,46.465
PTC,20030226,300,46.883,47.635,46.382,47.552
PTC,20030227,100000,47.635,48.053,46.800,47.552
PTC,20030228,7547100,47.803,49.808,47.385,49.725
PTC,20030303,3450800,49.975,50.978,49.390,49.390
PTC,20030304,200,49.390,49.975,49.140,49.808
PTC,20030305,4812500,48.973,50.895,48.973,50.560
PTC,20030306,1700,50.978,51.396,50.142,50.142
PTC,20030307,3176300,49.892,50.310,49.307,50.226
PTC,20030310,4657400,49.975,51.229,49.975,50.811
PTC,20030311,4108700,50.310,50.895,50.226,50.811
PTC,20030312,100,51.145,51.145,49.975,50.226
PTC,20030313,3905000,50.226,50.895,49.641,50.895
PTC,20030314,3409800,51.730,51.730,51.145,51.396
PTC,20030317,100700,50.059,51.814,49.557,51.814
PTC,20030318,7713200,51.563,55.742,51.396,53.151
PTC,20030319,2534000,54.154,54.321,53.402,54.237
PTC,20030320,1961800,54.070,54.822,53.736,54.154
PTC,20030321,20000,54.488,56.327,54.321,55.658
PTC,20030324,3134800,55.157,55.575,54.154,54.405
PTC,20030325,2621200,54.321,55.324,53.652,54.822
PTC,20030326,8200,55.157,55.742,54.739,55.240
PTC,20030327,6000,55.324,55.992,54.739,55.658
PTC,20030328,2257400,55.575,55.825,54.488,54.990
PTC,20030331,5500,54.655,54.655,52.148,53.067
PTC,20030401,600,52.984,54.070,52.984,53.485
PTC,20030402,6096400,53.736,54.655,53.652,53.652
PTC,20030403,4962900,53.652,55.157,53.485,54.655
PTC,20030404,900,54.655,56.327,54.154,56.160
PTC,20030407,10546400,56.661,58.834,56.661,58.834
PTC,20030408,13431600,57.915,59.168,57.747,58.500
PTC,20030409,15268400,58.332,58.500,57.831,58.082
PTC,20030410,7938100,57.580,57.831,56.828,57.330
PTC,20030411,14300,56.912,57.580,55.575,56.076
PTC,20030414,10110500,56.243,56.243,52.900,52.984
PTC,20030415,7685700,53.820,55.491,53.485,55.324
PTC,20030416,3200,55.742,56.494,53.402,53.820
PTC,20030417,4618700,53.318,53.987,52.900,53.652
PTC,20030422,7736300,53.903,54.488,53.402,54.154
PTC,20030423,7305300,54.822,55.992,54.405,55.658
PTC,20030424,4999600,55.658,56.243,54.822,54.822
PTC,20030425,2067000,54.906,56.076,54.906,55.073
PTC,20030428,4344500,54.321,54.488,53.485,53.652
PTC,20030429,11600,53.903,54.070,52.650,53.067
PTC,20030430,100,53.235,54.321,53.151,53.569
PTC,20030502,4121000,53.987,54.321,53.485,53.485
PTC,20030505,2502300,53.903,55.073,53.736,54.237
PTC,20030506,15000,54.488,55.575,53.987,55.575
PTC,20030507,30800,55.575,55.575,54.822,55.575
PTC,20030508,0,55.073,55.491,53.820,53.903
PTC,20030509,3500,54.321,54.488,53.318,53.318
PTC,20030512,9300,53.987,54.154,52.399,52.900
PTC,20030513,20300,53.235,53.318,51.730,52.232
PTC,20030514,4271000,52.065,53.235,51.730,53.151
PTC,20030515,9657800,53.151,53.318,52.232,53.318
PTC,20030516,1400,53.067,54.070,52.900,53.067
PTC,20030519,3600,53.067,53.067,52.065,52.650
PTC,20030520,8100,52.399,53.569,52.232,52.817
PTC,20030521,0,53.318,53.318,52.399,52.482
PTC,20030522,2771900,52.900,53.402,52.733,52.817
PTC,20030523,1332000,53.151,53.318,52.482,52.482
PTC,20030526,573000,52.650,52.900,52.482,52.650
PTC,20030527,4500,52.650,53.151,52.399,53.151
PTC,20030528,3700,53.402,54.488,53.318,54.237
PTC,20030529,2833300,53.903,54.739,53.736,53.820
PTC,20030530,6900,53.485,55.073,53.485,54.321
PTC,20030602,3369400,54.739,55.240,54.237,54.237
PTC,20030603,8354300,54.070,54.321,53.485,53.569
PTC,20030604,3700,53.736,53.820,52.817,53.485
PTC,20030605,11800,53.903,54.739,53.402,54.739
PTC,20030606,0,54.822,56.160,54.655,55.491
PTC,20030609,1400,55.407,55.658,55.073,55.157
PTC,20030610,2965500,54.990,55.909,54.906,55.324
PTC,20030611,4191700,55.575,55.575,54.154,54.321
PTC,20030612,16163400,54.655,54.739,52.232,52.399
PTC,20030613,5206700,52.817,53.235,52.482,53.067
PTC,20030616,6085200,53.235,54.321,52.900,54.154
PTC,20030617,9601000,54.488,55.073,54.405,54.488
PTC,20030618,100,54.572,54.822,53.402,53.402
PTC,20030619,4378400,53.485,53.820,52.650,52.650
PTC,20030620,6121300,53.067,54.154,52.817,53.569
PTC,20030623,6690900,53.903,54.739,53.820,53.903
PTC,20030624,5368100,54.154,54.572,52.482,52.650
PTC,20030625,1000,53.067,53.318,51.981,51.981
PTC,20030626,2700,52.065,52.650,51.981,52.566
PTC,20030627,6884600,52.817,52.900,51.647,52.065
PTC,20030630,126000,52.065,52.148,51.312,52.148
PTC,20030701,4025100,52.148,52.315,51.563,52.232
PTC,20030702,3200,52.482,52.650,52.148,52.566
PTC,20030703,900,52.399,52.566,51.396,51.563
PTC,20030704,2149300,51.647,52.065,51.480,51.480
PTC,20030707,4586200,51.730,52.650,51.730,52.650
PTC,20030708,4961900,52.482,52.650,51.229,51.814
PTC,20030709,3670400,51.981,51.981,51.312,51.647
PTC,20030710,370000,51.480,51.814,50.811,51.814
PTC,20030711,0,51.312,52.900,51.312,52.650
PTC,20030714,3893200,52.817,53.318,52.733,53.067
PTC,20030715,8100,53.151,53.318,52.650,52.900
PTC,20030716,4961300,53.151,53.485,52.650,52.984
PTC,20030717,5366400,52.817,53.652,52.733,53.652
PTC,20030718,5717400,53.402,53.820,52.900,52.900
PTC,20030721,3318300,53.151,53.151,52.232,52.650
PTC,20030722,2736800,52.482,52.733,51.981,52.148
PTC,20030723,27200,52.232,52.399,50.895,50.978
PTC,20030724,7219600,51.396,51.563,50.727,50.978
PTC,20030725,6154500,51.062,51.563,50.727,51.145
PTC,20030728,6362800,51.396,51.480,50.142,50.477
PTC,20030729,5699700,50.560,50.644,49.557,49.975
PTC,20030730,2986600,49.725,50.477,49.725,50.059
PTC,20030731,14941600,50.226,50.477,49.725,49.808
PTC,20030801,4571000,49.975,50.142,49.474,49.725
PTC,20030804,4273700,49.641,50.059,49.641,49.725
PTC,20030805,4558300,49.975,49.975,49.557,49.641
PTC,20030806,45800,49.808,49.808,48.973,49.307
PTC,20030807,3587600,49.307,49.474,48.638,49.307
PTC,20030808,2999500,49.223,49.557,48.973,49.307
PTC,20030811,100,49.390,49.975,49.223,49.975
PTC,20030812,5350900,50.142,51.480,50.142,51.312
PTC,20030813,3512400,51.563,51.981,51.396,51.563
PTC,20030814,3915300,51.814,52.315,51.480,52.148
PTC,20030815,3900,51.814,53.820,51.814,52.566
PTC,20030818,3664100,52.900,53.485,52.817,53.402
PTC,20030819,300,53.485,53.652,52.817,53.485
PTC,20030820,4604800,53.067,53.652,52.984,53.485
PTC,20030821,7689200,53.485,54.405,53.485,54.405
PTC,20030822,35000,54.321,54.572,54.070,54.488
PTC,20030825,1381400,54.488,54.572,53.987,53.987
PTC,20030826,6547500,54.070,54.990,54.070,54.990
PTC,20030827,9338300,54.906,55.575,54.739,54.739
PTC,20030828,6437700,54.655,55.992,54.655,54.655
PTC,20030829,600,55.157,55.575,54.822,54.990
PTC,20030901,6330700,55.157,55.575,55.073,55.575
PTC,20030902,2866600,55.575,55.742,54.990,55.324
PTC,20030903,5811600,55.575,55.825,53.987,54.321
PTC,20030904,2797100,54.405,54.655,53.820,54.070
PTC,20030905,3613600,54.070,54.572,53.067,53.485
PTC,20030908,4700,53.318,53.903,52.900,52.900
PTC,20030909,2280100,53.067,53.652,52.984,53.235
PTC,20030910,2273600,53.235,53.485,52.900,53.151
PTC,20030911,53300,53.151,54.154,52.984,54.154
PTC,20030912,3405300,54.070,54.739,53.987,54.572
PTC,20030915,3726400,54.405,55.157,54.405,55.157
PTC,20030916,5601800,54.990,55.157,54.488,55.157
PTC,20030917,12922000,55.992,57.998,55.992,57.664
PTC,20030918,7179600,57.664,57.664,56.661,57.330
PTC,20030919,6807000,57.580,57.580,56.661,57.413
PTC,20030922,5511200,57.162,57.246,56.327,57.079
PTC,20030923,3499000,57.246,57.497,56.745,57.413
PTC,20030924,4981500,57.664,58.082,57.246,57.413
PTC,20030925,4561000,57.246,57.330,56.327,56.327
PTC,20030926,3272100,56.243,56.410,55.324,55.825
PTC,20030929,4440400,55.825,57.079,55.825,57.079
PTC,20030930,6486400,57.079,57.246,56.160,56.745
PTC,20031001,2800,56.577,58.332,56.410,58.332
PTC,20031002,5245200,58.500,58.750,58.082,58.082
PTC,20031003,5717100,58.500,59.419,58.500,59.335
PTC,20031006,502300,59.168,59.335,58.583,58.583
PTC,20031007,2905100,59.085,59.085,58.500,58.583
PTC,20031008,56000,58.750,59.085,58.165,58.165
PTC,20031009,3689800,58.416,59.252,58.416,58.667
PTC,20031010,4578400,59.168,60.087,58.917,59.670
PTC,20031013,4562100,60.171,60.756,59.837,60.004
PTC,20031014,2452800,59.920,60.255,59.837,59.920
PTC,20031015,3393000,59.920,60.004,59.419,59.586
PTC,20031016,4549300,59.335,60.505,59.252,59.419
PTC,20031017,2046400,59.502,60.171,59.502,59.753
PTC,20031020,2553300,59.670,59.920,58.917,59.168
PTC,20031021,1704700,59.419,59.419,58.750,59.168
PTC,20031022,2430600,59.168,59.419,58.332,58.500
PTC,20031023,1200,58.165,58.165,57.497,57.915
PTC,20031024,100,57.915,58.500,57.246,58.500
PTC,20031027,2671600,58.082,58.500,57.915,57.998
PTC,20031028,3036900,57.998,59.085,57.998,59.001
PTC,20031029,1920200,59.001,59.586,58.917,59.252
PTC,20031030,7405300,59.419,60.589,59.419,59.502
PTC,20031031,87900,59.586,60.672,59.586,60.422
PTC,20031103,2716800,60.171,61.174,60.087,60.505
PTC,20031104,1200,60.672,61.174,60.505,61.174
PTC,20031105,1889700,61.174,61.257,60.756,61.007
PTC,20031106,2151700,60.840,61.007,60.171,60.171
PTC,20031107,3293800,61.007,61.341,60.422,61.257
PTC,20031110,4232600,60.756,63.012,60.756,62.929
PTC,20031111,4187000,62.344,63.012,62.177,63.012
PTC,20031112,5869600,62.678,64.182,62.678,64.015
PTC,20031113,6010200,64.182,65.102,64.182,64.935
PTC,20031114,4690900,64.851,65.436,64.433,64.851
PTC,20031117,6315900,64.266,64.266,62.762,63.180
PTC,20031118,5306100,63.430,63.681,62.427,62.678
PTC,20031119,3492100,63.012,63.765,62.177,63.765
PTC,20031120,3508800,63.932,64.182,62.762,63.012
PTC,20031121,2197900,63.096,63.180,62.678,62.678
PTC,20031124,3031900,62.678,63.848,62.678,63.848
PTC,20031125,3323700,63.597,64.266,63.430,64.099
PTC,20031126,3698500,64.350,65.185,64.099,64.099
PTC,20031127,3877600,64.684,65.185,63.848,65.018
PTC,20031128,5491600,64.851,66.606,64.767,65.603
PTC,20031201,4255400,65.854,67.525,65.854,66.857
PTC,20031202,3866000,67.275,67.275,65.687,66.606
PTC,20031203,2110700,66.606,66.857,66.188,66.690
PTC,20031204,5827200,66.188,66.439,65.603,66.021
PTC,20031205,6290500,65.937,66.021,64.266,64.767
PTC,20031208,3454100,64.350,64.767,63.597,64.182
PTC,20031209,5503200,64.350,64.517,63.430,63.514
PTC,20031210,5367600,63.430,64.099,62.929,64.099
PTC,20031211,4569700,63.932,65.185,63.932,65.185
PTC,20031212,2828700,65.102,65.603,64.517,64.517
PTC,20031215,2605900,65.185,65.352,64.350,64.350
PTC,20031216,2847000,64.266,64.851,64.015,64.266
PTC,20031217,2522700,64.684,65.018,64.182,64.182
PTC,20031218,3176200,64.684,64.684,63.932,63.932
PTC,20031219,5125900,64.099,64.266,63.180,63.180
PTC,20031222,2512300,63.180,64.517,63.180,64.517
PTC,20031223,3187700,64.517,65.436,64.433,65.185
PTC,20031224,227800,65.352,65.520,65.185,65.185
PTC,20031229,2475000,65.185,66.105,65.185,66.105
PTC,20031230,1960100,66.188,66.522,66.021,66.021
PTC,20031231,2224500,66.105,66.690,65.436,66.690
PTC,20040102,2176200,66.522,67.609,65.603,67.609
PTC,20040105,2767200,67.442,67.943,67.024,67.860
PTC,20040106,2693600,67.943,68.528,67.609,68.277
PTC,20040107,4589600,68.361,68.946,67.525,67.525
PTC,20040108,6490600,67.692,70.116,67.692,70.116
